algorithm,nodes,interference,sd_interference,hops,sd_hops,distance,sd_dist,totalTraffic,cluster
1,30,11.766666666666667,2.666874991862615,0.0,0.0,170.9745641072591,99.02379205523765,153.03986144065857,Strong
2,30,7.033333333333333,3.572891763761611,0.8,0.4000000000000001,174.3477097829183,100.17228747452842,281.29288029670715,Strong
3,30,5.3,3.8397048497681863,0.8,0.4000000000000001,183.37570884625117,106.27023368689429,281.29288029670715,Strong
4,30,3.2666666666666666,3.5017455964450392,4.666666666666667,3.409138046812159,303.7476616501808,198.96122788981603,751.4177931547165,Strong
5,30,8.5,5.542261872797663,2.3,1.1000000000000003,293.2580848018328,186.39508140310187,491.51925122737885,Strong
6,30,7.833333333333333,5.550275268448905,1.2666666666666666,0.7272474743090478,320.99266540209453,169.327677164029,318.40683698654175,Strong
7,30,5.366666666666666,4.39305006674052,0.9333333333333333,0.7717224601860151,211.6163818160693,153.2567979010656,270.16378021240234,Strong
8,30,8.8,2.7616420236277306,0.8333333333333334,0.3726779962499649,263.14188922246296,124.81707887321434,268.3439145088196,Strong
1,30,15.966666666666667,5.9300552742411705,0.0,0.0,209.63637555440266,95.03522483490762,145.1782385110855,Weak
2,30,6.7,5.3488316481265334,0.8,0.4000000000000001,224.41529102325438,102.94407720062024,260.3527101278305,Weak
3,30,5.4,5.425863986500215,0.8,0.4000000000000001,227.8153891245524,99.17405685494158,260.3527101278305,Weak
4,30,3.2666666666666666,4.2105687132368335,2.9,1.8502252115170554,299.50375685691836,163.44995821431428,552.3619410991669,Weak
5,30,5.1,4.2296571965113205,2.1666666666666665,1.0979779394667066,285.54050577481587,150.440255622531,456.08679485321045,Weak
6,30,7.433333333333334,6.751213882620582,1.0333333333333334,0.6046119049072352,387.58633410135906,129.93958369023574,319.7923927307129,Weak
7,30,6.633333333333334,6.483226220194865,0.7,0.5259911279353167,230.36148846944172,100.57029121396003,264.33539056777954,Weak
8,30,9.333333333333334,6.278711828251255,0.8333333333333334,0.3726779962499649,382.070005162557,124.33936259731696,277.2015860080719,Weak
1,30,13.3,4.670117771534247,0.0,0.0,342.4054840087891,40.748108176344296,148.47375357151031,Strong
2,30,6.766666666666667,4.666785712767289,0.8,0.4000000000000001,344.6411569039027,41.782958258022816,263.2260401248932,Strong
3,30,5.133333333333334,4.8561530270598166,0.8,0.4000000000000001,349.0857787847519,41.86697641463072,263.2260401248932,Strong
4,30,3.9,4.376832949367232,3.1666666666666665,2.0179747823553744,608.0257376829783,232.98772663195194,603.2780590057373,Strong
5,30,5.7,3.992910383834495,2.2666666666666666,1.0934146311237811,603.4601128498713,229.53028959195458,488.57587492465973,Strong
6,30,9.133333333333333,6.844624817248123,1.2666666666666666,0.7272474743090478,736.886068558693,220.20591322082984,336.36941504478455,Strong
7,30,7.066666666666666,6.923069325731824,0.5333333333333333,0.4988876515698589,344.98638788064324,40.04851874036179,225.5039360523224,Strong
8,30,10.6,5.339163480046913,0.8333333333333334,0.37267799624996495,659.028906361262,189.67244594321315,266.0173919200897,Strong
1,30,13.333333333333334,4.714045207910315,0.0,0.0,357.636562093099,166.54026360479295,136.81974911689758,Weak
2,30,6.5,4.79409358829522,0.8,0.4000000000000001,367.8529246966044,170.99701142629576,244.62127900123596,Weak
3,30,4.9,5.028916384272063,0.8,0.4000000000000001,375.34486951828,169.3253642026232,244.62127900123596,Weak
4,30,3.2666666666666666,3.4538223591969657,4.5,3.3541019662496847,449.69522569974265,209.83173803248513,801.235797047615,Weak
5,30,7.533333333333333,4.78005113873156,2.3333333333333335,1.0749676997731397,437.4269940217336,202.02751630094374,480.2019761800766,Weak
6,30,7.1,4.338586559391587,1.2,0.7023769168568491,502.69910192489624,221.7284259672077,296.64713621139526,Weak
7,30,5.866666666666666,4.507278065036099,0.8333333333333334,0.6871842709362769,372.10926796595254,166.74583722032904,247.69963455200195,Weak
8,30,9.333333333333334,3.4189017079888226,0.8333333333333334,0.3726779962499649,451.65379452705383,207.49751350422375,243.82479238510132,Weak
1,30,23.166666666666668,4.5319850936304835,0.0,0.0,331.58473103841146,39.47621613993554,166.65790784358978,Strong
2,30,10.4,8.138795979750322,0.8333333333333334,0.3726779962499649,337.8994464556376,41.20511840224254,318.1847833395004,Strong
3,30,9.033333333333333,7.960248460667265,0.8333333333333334,0.3726779962499649,340.8019646962484,43.652943199989245,318.1847833395004,Strong
4,30,4.466666666666667,6.338944882409235,4.633333333333334,2.786674641136915,429.9083334803581,163.83370987848434,873.729719042778,Strong
5,30,5.933333333333334,5.932584222373547,2.2333333333333334,1.0857664983268223,425.0178265889486,160.17698824300152,524.836872458458,Strong
6,30,8.4,7.078606265831337,1.1333333333333333,0.6699917080747259,466.3111600557963,204.2924211097448,337.3814867734909,Strong
7,30,6.766666666666667,6.731435376071157,1.1333333333333333,0.6699917080747259,425.0002482414246,158.27985267612866,346.3861263990402,Strong
8,30,9.066666666666666,5.761558431149991,0.8333333333333334,0.3726779962499649,423.47069884936013,157.76629971858122,297.35906767845154,Strong
1,100,31.32,16.227063813271947,0.0,0.0,273.42855546951296,154.37494877280832,499.5803722143173,Weak
2,100,9.95,10.286277266338878,0.81,0.39230090491866026,292.6797845077515,162.40242584358776,897.6649932861328,Weak
3,100,8.41,10.215767225225916,0.81,0.39230090491866026,295.264120798111,157.80251250228213,897.6649932861328,Weak
4,100,2.58,2.8325959824867364,9.84,6.067487124007764,378.52937004566195,242.26457614770598,5481.752958655357,Weak
5,100,15.36,13.324803938520072,2.69,0.7442445834535849,319.1050081729889,193.57409256883022,1842.1468170881271,Weak
6,100,14.8,11.114854924829203,1.73,0.5450688029964663,366.52524274349213,200.27014664803576,1373.0932521820068,Weak
7,100,8.96,7.300575319795012,1.5,0.6708203932499369,334.1095796871185,181.51006118953626,1266.7367618083954,Weak
8,100,23.25,10.32412223871841,0.95,0.2179449471770344,317.0617041492462,167.19816414122786,977.7720769643784,Weak
1,100,30.92,10.589315369748897,0.0,0.0,296.84409622192385,103.75413137418631,497.56210923194885,Strong
2,100,10.44,10.299825241235892,0.85,0.35707142142714293,308.5210333991051,112.73154780704522,933.4930750131607,Strong
3,100,8.01,10.090089196830718,0.85,0.35707142142714293,307.56701217889787,106.0842685327009,933.4930750131607,Strong
4,100,3.21,4.461602850994247,8.99,4.918322884886677,493.00785199284553,220.50945545023455,5004.649528980255,Strong
5,100,16.67,10.071797257689413,2.77,0.6907242575731657,457.1889535522461,201.92106070040225,1889.5897076129913,Strong
6,100,12.84,10.770069637657873,1.66,0.5695612346359261,489.4466240096092,186.78894287901375,1343.9467463493347,Strong
7,100,8.84,9.610119666268467,1.06,0.5969924622639716,316.9051152050495,97.12936451478765,1045.5187972784042,Strong
8,100,31.72,13.74996727268833,0.95,0.2179449471770345,395.1572994041443,139.48643570308542,977.5070878267288,Strong
1,100,36.63,16.852094825273213,0.0,0.0,247.49527328491212,103.81254908603998,463.59244334697723,Weak
2,100,11.76,12.81726960003573,0.83,0.37563279941985916,266.6633045458794,112.31611966511386,839.2727749347687,Weak
3,100,8.9,12.634476641317598,0.83,0.37563279941985916,269.63425488233565,109.19311576868077,839.2727749347687,Weak
4,100,2.45,2.9609964538985847,8.68,5.399777773205114,397.4962726312876,184.42220553299347,4693.416196107864,Weak
5,100,18.16,12.411059584096755,2.73,0.7328710664230083,291.1362819314003,111.05232966345358,1748.2491471767426,Weak
6,100,12.95,12.840852775419554,1.67,0.5666568626602865,355.79319109916685,105.62119778822704,1226.3056480884552,Weak
7,100,8.77,11.394608374139064,1.43,0.6964912059746335,305.7048307609558,127.18295179248533,1110.2353382110596,Weak
8,100,27.22,12.162713513028253,0.95,0.2179449471770344,309.49715198516844,101.27946360009621,914.0577228069305,Weak
1,100,35.96,15.412280817581788,0.0,0.0,299.222392578125,103.32630841736301,519.3170804977417,Strong
2,100,13.04,13.176433508351193,0.85,0.3570714214271431,327.2950691127777,142.14479563772377,973.4469879865646,Strong
3,100,10.07,12.243573824664105,0.85,0.3570714214271431,307.1694843149185,101.58519031032465,973.4469879865646,Strong
4,100,3.11,4.525251374233255,8.51,5.222058980900159,462.00518986165525,182.4407943819805,4944.386253476143,Strong
5,100,15.1,10.057335631269346,2.72,0.7222188034107127,414.2294268488884,153.83995611508314,1932.2292127609253,Strong
6,100,14.44,12.9037358931435,1.7,0.5567764362830019,458.65381108760835,142.29973752685504,1397.3921494483948,Strong
7,100,8.61,11.268447097981156,1.27,0.7463913182774835,320.504766035676,116.63033251860872,1175.3771936893463,Strong
8,100,30.79,12.162479188060301,0.95,0.21794494717703447,385.98040645599366,125.86261316987849,1008.6929709911346,Strong
1,100,32.78,13.831543659331741,0.0,0.0,303.5037776184082,122.47956521043396,534.1794382333755,Weak
2,100,10.49,10.540868085693889,0.86,0.34698703145794946,334.733538236618,148.35373211447515,977.4855735301971,Weak
3,100,8.34,10.754738490544527,0.86,0.34698703145794946,323.1696373939514,126.10189109820445,977.4855735301971,Weak
4,100,2.96,4.002299339129943,7.16,4.241980669451477,463.75731702804563,214.18908049813427,4186.104269623756,Weak
5,100,13.7,9.112079894294167,2.73,0.71909665553387,388.23027845859525,195.66863563962977,1971.8128616809845,Weak
6,100,18.56,14.001657044792953,1.7,0.5567764362830019,470.88257782936097,192.68647831050964,1434.9185971021652,Weak
7,100,7.78,8.550532147182416,1.31,0.673721010508059,343.89442580223084,139.30727181535886,1230.834404706955,Weak
8,100,25.38,8.636874434655166,0.95,0.2179449471770345,369.60687385559083,153.36942597574952,1041.8906465768814,Weak
1,100,28.91,5.8755340182829325,0.0,0.0,262.90767852783205,63.489177671748614,506.16281712055206,Strong
2,100,12.42,10.265651464958273,0.86,0.3469870314579496,285.53644654750826,84.8741537535179,953.8193794488907,Strong
3,100,8.48,9.130695482820567,0.86,0.3469870314579496,270.68323489189146,64.22163275786033,953.8193794488907,Strong
4,100,3.83,6.621261209165512,6.43,3.8138038753978947,463.5523100888729,181.1491617257624,3736.5647877454758,Strong
5,100,15.26,9.747430430631447,2.74,0.7158212067269306,466.8862718242407,189.94322734510442,1919.5754532814026,Strong
6,100,17.13,16.308681737038096,1.66,0.5695612346359261,471.53662852525713,123.46844774367285,1347.9653224945068,Strong
7,100,9.06,10.440134098755628,0.95,0.606217782649107,280.8177120029926,68.79565471162822,989.5982573032379,Strong
8,100,36.53,17.336351980736886,0.95,0.21794494717703453,410.33628808498383,135.79213810455636,990.8457152843475,Strong
1,250,80.952,27.660905552783337,0.0,0.0,330.50047119140623,96.75172549455947,1244.5227986574173,Weak
2,250,18.0,25.88621254645028,0.864,0.34278856457005635,350.6823566617966,103.93109393881873,2319.854552745819,Weak
3,250,14.436,26.376464964054605,0.864,0.34278856457005635,356.5253629693985,98.13733012998351,2319.854552745819,Weak
4,250,2.612,3.838418424299249,12.008,4.912833805452816,557.70754316473,209.2667512482102,16140.84193122387,Weak
5,250,29.784,17.84447656839505,2.884,0.4801499765698193,406.3793013572693,110.03519967131207,4821.6394073963165,Weak
6,250,26.448,22.604585729448793,1.876,0.3855178335693452,476.37783937454225,118.5886389205753,3576.2171745300293,Weak
7,250,12.616,16.729272070236643,1.476,0.6078025995337628,390.3549092116356,113.46220323765064,3117.076931118965,Weak
8,250,65.94,21.207366644635528,0.98,0.13999999999999985,391.1068564682007,104.63786040085736,2457.491345524788,Weak
1,250,83.416,34.10189062207549,0.0,0.0,331.3984838409424,117.47052190241524,1315.9936940670013,Strong
2,250,19.064,27.183743377246646,0.868,0.33849076796863925,343.20436610937116,122.99345551070469,2462.1056036949158,Strong
3,250,14.272,27.14520244905167,0.868,0.33849076796863925,342.4295624027252,118.2583604305933,2462.1056036949158,Strong
4,250,3.084,4.735920607442653,15.496,8.169331918829105,602.3275253229141,209.7946006347055,21648.895217180252,Strong
5,250,55.972,35.49088919708833,2.896,0.4703020306143686,500.82520903015137,172.32213130791263,5130.720687866211,Strong
6,250,40.892,23.73807776548052,1.88,0.3815756805667784,517.1905841693878,150.45237811756235,3805.6223425865173,Strong
7,250,13.016,14.008274126386867,1.768,0.47557964632645816,417.18503863096237,172.5491723471001,3666.7285939455032,Strong
8,250,52.74,24.111748173867454,0.98,0.13999999999999985,393.6802776222229,138.45859898750052,2613.7493982315063,Strong
1,250,73.636,33.27605000597278,0.0,0.0,303.5521154251099,136.52449733592582,1220.6714104413986,Weak
2,250,18.912,26.155998470714124,0.856,0.3510897321198664,328.61036442136765,157.3027716086414,2272.4089674949646,Weak
3,250,13.464,25.392453682147348,0.856,0.3510897321198664,328.70455289030076,143.81171008317904,2272.4089674949646,Weak
4,250,2.372,2.906822319991369,13.696,6.313444701587244,465.4932984967232,215.02379748159967,18115.853736519814,Weak
5,250,45.7,29.015478627794533,2.892,0.4736412144229038,337.14332528305056,144.80677399213934,4761.987963914871,Weak
6,250,35.016,28.290205796352915,1.888,0.37343808054347977,428.2150889434814,127.66522651427974,3552.9166024923325,Weak
7,250,14.932,15.527503856061356,1.464,0.6005863801319492,370.199839881897,149.77536976807562,3055.75151515007,Weak
8,250,61.028,27.386186591053523,0.98,0.13999999999999985,336.9252251396179,138.54566965399536,2419.1034801006317,Weak
1,250,74.332,26.85527464018939,0.0,0.0,318.4521647338867,107.42672952148592,1245.710988163948,Strong
2,250,19.084,24.974165531604854,0.868,0.33849076796863925,340.48508642315863,131.1581225540967,2343.1853255033493,Strong
3,250,13.484,23.830269490712865,0.868,0.33849076796863925,333.1783002448082,117.39023836613096,2343.1853255033493,Strong
4,250,3.332,6.08257971587714,13.032,7.123410419174234,523.823377653122,211.68921335435493,17813.9325735569,Strong
5,250,36.632,22.920221988453775,2.888,0.4769234739452426,468.9799300804138,175.05406185751193,4833.225062131882,Strong
6,250,36.612,29.334168745679513,1.88,0.38157568056677715,523.0117489938737,146.43089646115865,3589.4093129634857,Strong
7,250,12.092,16.557159659796728,1.38,0.5758472019555184,354.1030891046524,109.40843673736403,2918.6284642219543,Strong
8,250,71.068,27.370045231968525,0.98,0.13999999999999985,367.5592659187317,111.99433383436208,2465.5896089076996,Strong
1,250,80.084,30.25195768871826,0.0,0.0,296.2239354400635,101.3900215578735,1264.5592104196548,Weak
2,250,19.208,26.535198058427977,0.864,0.3427885645700564,324.800335108757,124.27950453086865,2352.98275578022,Weak
3,250,13.776,25.741597153245948,0.864,0.3427885645700564,320.7366195669174,103.45745071222261,2352.98275578022,Weak
4,250,2.488,2.908239329903919,12.148,5.812924909200189,492.8451562480927,189.62166140752913,16786.568709731102,Weak
5,250,50.96,32.71682136149537,2.896,0.4703020306143686,377.1142910451889,121.15511180158461,4915.795062661171,Weak
6,250,21.104,12.659430634906132,1.86,0.4004996878900138,403.46339234161377,95.81563836686264,3631.2550081014633,Weak
7,250,10.124,13.312423671142676,1.696,0.5473426714591146,352.99489522838593,109.96042197609296,3409.1449444293976,Weak
8,250,46.912,23.81882146538741,0.98,0.13999999999999985,340.6242607574463,97.04058937216766,2511.5913268327713,Weak
1,250,86.468,51.90600134859167,0.0,0.0,315.6080103912353,125.10330589145741,1289.168282032013,Strong
2,250,19.032,32.59470779129642,0.864,0.3427885645700563,331.5526273107529,134.6999214658189,2374.64154112339,Strong
3,250,15.552,32.97040030087594,0.864,0.3427885645700563,326.27724889469147,125.09264723909611,2374.64154112339,Strong
4,250,3.172,5.387988121738947,16.836,9.439126230748268,570.7488221399784,278.6598585624024,23831.623502969742,Strong
5,250,49.144,40.128933003507605,2.888,0.4769234739452426,410.11716841316223,161.24440543443873,5016.537433385849,Strong
6,250,36.404,24.626992995491758,1.88,0.3815756805667779,544.9462866106034,136.68246131423,3742.1850286722183,Strong
7,250,13.724,14.900195434959903,1.36,0.6118823416311335,360.67609712791443,138.86520314132352,3131.206088066101,Strong
8,250,72.468,31.459195412470407,0.98,0.13999999999999987,433.1063248596191,133.7559006903755,2566.288647055626,Strong
